,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2021-01-23 01:00:00,1232.61,1233.33,1205.7,1228.06,71481.91075999997,35146.112549999714,66742,86977407.14524484
2021-01-23 02:00:00,1228.4,1241.58,1210.87,1232.79,46412.7090199992,22027.664619999785,55172,56930742.09129627
2021-01-23 03:00:00,1232.79,1242.85,1210.0,1219.29,38734.269339998886,16661.503210000235,56289,47418758.73651735
2021-01-23 04:00:00,1219.46,1239.38,1216.07,1231.67,25706.940490000037,14361.733340000039,34007,31613581.09336424
2021-01-23 05:00:00,1231.67,1250.93,1229.0,1247.82,33808.03426000031,18617.58205999997,29657,42070399.838831335
2021-01-23 06:00:00,1247.97,1265.51,1235.17,1263.54,38534.765419999545,20367.748819999983,34786,48251672.90667273
2021-01-23 07:00:00,1263.53,1267.0,1252.14,1253.45,30009.989239999795,15030.004880000071,30839,37831557.85475034
2021-01-23 08:00:00,1253.45,1268.49,1248.26,1259.62,33110.166639999734,15404.901940000054,28857,41673135.17291404
2021-01-23 09:00:00,1259.61,1270.0,1249.0,1266.43,38095.70483999989,18700.18076000004,35527,48043859.82701439
2021-01-23 10:00:00,1266.44,1272.44,1251.93,1256.01,42490.40167999929,21896.24247999993,37040,53603903.19085024
2021-01-23 11:00:00,1256.21,1259.0,1237.03,1246.46,50227.646980001125,23246.18842999985,40196,62572130.0747461
2021-01-23 12:00:00,1246.5,1252.94,1212.5,1219.07,79003.51710000023,37642.635819999545,71850,96945242.3599902
2021-01-23 13:00:00,1219.07,1233.9,1214.58,1217.84,45157.794229999905,22528.190019999918,36867,55324652.32054567
2021-01-23 14:00:00,1217.99,1242.08,1195.9,1231.92,72759.4069200003,36414.72281999946,62465,88670431.66300912
2021-01-23 15:00:00,1231.92,1236.19,1216.14,1219.15,31568.617499999487,15005.460640000092,32031,38706269.91500884
2021-01-23 16:00:00,1218.96,1239.34,1216.0,1230.26,33844.25897999953,17321.047650000095,29286,41677548.12324768
2021-01-23 17:00:00,1230.26,1259.86,1223.75,1242.92,67256.76206000008,32510.872799999448,52783,83760280.03886509
2021-01-23 18:00:00,1243.01,1254.8,1238.84,1252.99,32972.26682999995,17095.593970000038,26835,41062996.38257505
2021-01-23 19:00:00,1252.99,1260.66,1244.06,1249.09,43838.375809999954,21552.10911000008,34802,54935325.27221429
